Results for U.S. Representative
,
Last,First,Middle,Suffix,Nickname,Born,Death,Sex,Position,Party,State,District,Start,End,Religion,Race,Educational Attainment,JobType1,JobType2,JobType3,JobType4,JobType5,Mil1,Mil2,Mil3
Bakewell,Claude,Ignatius,,,08/09/1912,03/18/1987,2,U.S. Representative,Republican,MO,11,03/19/1951,01/03/1953,Not specified,White,Professional degree,Law,,,,,Navy,,
Baldacci,John,Elias,,,01/30/1955,,2,U.S. Representative,Democrat,ME,2,01/04/1995,01/03/2003,Roman Catholic,White,Bachelor's degree,Business or banking,,,,,Did not serve,,
Balderson,Troy,,,,01/16/1962,,2,U.S. Representative,Republican,OH,12,09/05/2018,01/03/2023,Christian,White,Bachelor's degree,,,,,,,,
Baldus,Alvin,James,,Al,04/27/1926,02/02/2017,2,U.S. Representative,Democrat,WI,3,01/14/1975,01/03/1981,Roman Catholic,White,Associate degree,Business or banking,,,,,Army,Merchant Marines,
Baldwin,Harry,Street,,,08/21/1894,10/19/1952,2,U.S. Representative,Democrat,MD,2,01/03/1945,01/03/1947,Not specified,White,Unknown,Misc.,,,,,,,
Baldwin,John,Finley,Jr.,,06/28/1915,03/09/1966,2,U.S. Representative,Republican,CA,6,01/05/1955,01/08/1963,Presbyterian,White,Professional degree,Law,,,,,Army,,
Baldwin,John,Finley,Jr.,,06/28/1915,03/09/1966,2,U.S. Representative,Republican,CA,14,01/09/1963,03/09/1966,Presbyterian,White,Professional degree,Law,,,,,Army,,
Baldwin,Joseph,Clark,,,01/11/1897,10/27/1957,2,U.S. Representative,Republican,NY,17,03/11/1941,01/03/1947,Not specified,White,Bachelor's degree,,,,,,,,
Baldwin,Tammy,,,,02/11/1962,,1,U.S. Representative,Democrat,WI,2,01/03/1999,01/03/2013,Not specified,White,Professional degree,Law,,,,,Did not serve,,
Ballance,Frank,W.,Jr.,,02/15/1942,02/22/2019,2,U.S. Representative,Democrat,NC,1,01/03/2003,01/02/2005,Baptist,African American,Professional degree,Education,Law,,,,NC National Guard and Reserve,,
Ballenger,Cass,,,,12/06/1926,02/18/2015,2,U.S. Representative,Republican,NC,10,01/06/1987,01/03/2005,Episcopalian,Not specified,Bachelor's degree,Public service/politics,,,,,Navy Air Corps,,
Bandstra,Bert,Andrew,,,01/25/1922,10/23/1995,2,U.S. Representative,Democrat,IA,4,01/04/1965,01/03/1967,Christian Reformed,White,Professional degree,Congressional Aide,Law,,,,Navy,,
Banks,Jim,,,,07/16/1979,,2,U.S. Representative,Republican,IN,3,01/20/2017,01/03/2023,Evangelical,White,Master's degree,Real Estate,,,,,Navy Reserve,,
